Year,Lake,Species,Grand_Total,Comments,Functional_Feeding_Group
1867,Erie,Cisco,2,,Planktivore
1867,Erie,Lake Whitefish,971,,Benthic invertivore
1867,Erie,Walleye and Blue Pike,5,,Piscivore
1868,Erie,Cisco,2,,Planktivore
1868,Erie,Lake Whitefish,901,,Benthic invertivore
1868,Erie,Walleye and Blue Pike,8,,Piscivore
1869,Erie,Cisco,30,,Planktivore
1869,Erie,Lake Whitefish,211,,Benthic invertivore
1869,Erie,Northern Pike,1,,Piscivore
1869,Erie,Walleye and Blue Pike,28,,Piscivore
1870,Erie,Cisco,31,,Planktivore
1870,Erie,Lake Whitefish,291,,Benthic invertivore
1870,Erie,Northern Pike,1,,Piscivore
1870,Erie,Walleye and Blue Pike,71,,Piscivore
1871,Erie,Cisco,44,,Planktivore
1871,Erie,Lake Whitefish,65,,Benthic invertivore
1871,Erie,Northern Pike,2,,Piscivore
1871,Erie,Walleye and Blue Pike,57,,Piscivore
1872,Erie,Cisco,96,,Planktivore
1872,Erie,Lake Whitefish,185,,Benthic invertivore
1872,Erie,Northern Pike,38,,Piscivore
1872,Erie,Walleye and Blue Pike,96,,Piscivore
1873,Erie,Cisco,162,,Planktivore
1873,Erie,Lake Whitefish,248,,Benthic invertivore
1873,Erie,Northern Pike,16,,Piscivore
1873,Erie,Walleye and Blue Pike,125,,Piscivore
1874,Erie,Cisco,293,,Planktivore
1874,Erie,Lake Whitefish,111,,Benthic invertivore
1874,Erie,Northern Pike,20,,Piscivore
1874,Erie,Walleye and Blue Pike,133,,Piscivore
1875,Erie,Cisco,323,,Planktivore
1875,Erie,Lake Whitefish,126,,Benthic invertivore
1875,Erie,Northern Pike,14,,Piscivore
1875,Erie,Walleye and Blue Pike,254,,Piscivore
1876,Erie,Cisco,670,,Planktivore
1876,Erie,Lake Whitefish,99,,Benthic invertivore
1876,Erie,Northern Pike,8,,Piscivore
1876,Erie,Walleye and Blue Pike,154,,Piscivore
1877,Erie,Cisco,563,,Planktivore
1877,Erie,Lake Whitefish,141,,Benthic invertivore
1877,Erie,Northern Pike,11,,Piscivore
1877,Erie,Walleye and Blue Pike,187,,Piscivore
1878,Erie,Cisco,619,,Planktivore
1878,Erie,Lake Whitefish,183,,Benthic invertivore
1878,Erie,Northern Pike,13,,Piscivore
1878,Erie,Walleye and Blue Pike,199,,Piscivore
1879,Erie,Cisco,575,,Planktivore
1879,Erie,Lake Sturgeon,2112,,Benthic invertivore
1879,Erie,Lake Whitefish,3537,,Benthic invertivore
1879,Erie,Northern Pike,12,,Piscivore
1879,Erie,Walleye and Blue Pike,170,,Piscivore
1880,Erie,Cisco,882,,Planktivore
1880,Erie,Lake Sturgeon,213,,Benthic invertivore
1880,Erie,Lake Whitefish,206,,Benthic invertivore
1880,Erie,Northern Pike,19,,Piscivore
1880,Erie,Walleye and Blue Pike,178,,Piscivore
1881,Erie,Cisco,1868,,Planktivore
1881,Erie,Lake Sturgeon,180,,Benthic invertivore
1881,Erie,Lake Whitefish,312,,Benthic invertivore
1881,Erie,Northern Pike,51,,Piscivore
1881,Erie,Walleye and Blue Pike,290,,Piscivore
1882,Erie,Cisco,2008,,Planktivore
1882,Erie,Lake Sturgeon,159,,Benthic invertivore
1882,Erie,Lake Whitefish,284,,Benthic invertivore
1882,Erie,Northern Pike,25,,Piscivore
1882,Erie,Walleye and Blue Pike,304,,Piscivore
1883,Erie,Cisco,2255,,Planktivore
1883,Erie,Lake Sturgeon,223,,Benthic invertivore
1883,Erie,Lake Whitefish,222,,Benthic invertivore
1883,Erie,Northern Pike,31,,Piscivore
1883,Erie,Walleye and Blue Pike,203,,Piscivore
1884,Erie,Cisco,2763,,Planktivore
1884,Erie,Lake Sturgeon,330,,Benthic invertivore
1884,Erie,Lake Whitefish,230,,Benthic invertivore
1884,Erie,Northern Pike,13,,Piscivore
1884,Erie,Walleye and Blue Pike,206,,Piscivore
1885,Erie,Blue Pike,7889,,Piscivore
1885,Erie,Channel Catfish and Bullheads,2802,,Benthic omnivore
1885,Erie,Cisco,25306,,Planktivore
1885,Erie,Lake Sturgeon,5187,,Benthic invertivore
1885,Erie,Lake Whitefish,3718,,Benthic invertivore
1885,Erie,Northern Pike,312,,Piscivore
1885,Erie,Sauger,5469,,Piscivore
1885,Erie,Walleye,4302,,Piscivore
1885,Erie,Walleye and Blue Pike,11288,,Piscivore
1885,Erie,Yellow Perch,1602,,Invertivore
1886,Erie,Blue Pike,,,Piscivore
1886,Erie,Channel Catfish and Bullheads,,,Benthic omnivore
1886,Erie,Cisco,3422,,Planktivore
1886,Erie,Lake Sturgeon,350,,Benthic invertivore
1886,Erie,Lake Whitefish,142,,Benthic invertivore
1886,Erie,Northern Pike,24,,Piscivore
1886,Erie,Sauger,,,Piscivore
1886,Erie,Walleye,,,Piscivore
1886,Erie,Walleye and Blue Pike,828,,Piscivore
1886,Erie,Yellow Perch,,,Invertivore
1887,Erie,Blue Pike,,,Piscivore
1887,Erie,Channel Catfish and Bullheads,,,Benthic omnivore
1887,Erie,Cisco,6303,,Planktivore
1887,Erie,Lake Sturgeon,610,,Benthic invertivore
1887,Erie,Lake Whitefish,333,,Benthic invertivore
1887,Erie,Northern Pike,34,,Piscivore
1887,Erie,Sauger,,,Piscivore
1887,Erie,Walleye,,,Piscivore
1887,Erie,Walleye and Blue Pike,931,,Piscivore
1887,Erie,Yellow Perch,,,Invertivore
1888,Erie,Blue Pike,,,Piscivore
1888,Erie,Channel Catfish and Bullheads,,,Benthic omnivore
1888,Erie,Cisco,5934,,Planktivore
1888,Erie,Lake Sturgeon,470,,Benthic invertivore
1888,Erie,Lake Whitefish,390,,Benthic invertivore
1888,Erie,Northern Pike,107,,Piscivore
1888,Erie,Sauger,,,Piscivore
1888,Erie,Walleye,,,Piscivore
1888,Erie,Walleye and Blue Pike,1087,,Piscivore
1888,Erie,Yellow Perch,,,Invertivore
1889,Erie,Blue Pike,,,Piscivore
1889,Erie,Channel Catfish and Bullheads,1252,,Benthic omnivore
1889,Erie,Cisco,44104,,Planktivore
1889,Erie,Lake Sturgeon,1656,,Benthic invertivore
1889,Erie,Lake Whitefish,3630,,Benthic invertivore
1889,Erie,Northern Pike,129,,Piscivore
1889,Erie,Sauger,,,Piscivore
1889,Erie,Suckers,1072,,Benthic omnivore
1889,Erie,Walleye,,,Piscivore
1889,Erie,Walleye and Blue Pike,15486,,Piscivore
1889,Erie,Yellow Perch,3830,,Invertivore
1890,Erie,Blue Pike,7489,,Piscivore
1890,Erie,Channel Catfish and Bullheads,1926,,Benthic omnivore
1890,Erie,Cisco,44560,,Planktivore
1890,Erie,Lake Sturgeon,2660,,Benthic invertivore
1890,Erie,Lake Whitefish,2546,,Benthic invertivore
1890,Erie,Northern Pike,63,,Piscivore
1890,Erie,Sauger,4180,,Piscivore
1890,Erie,Suckers,,,Benthic omnivore
1890,Erie,Walleye,3922,,Piscivore
1890,Erie,Walleye and Blue Pike,10602,,Piscivore
1890,Erie,Yellow Perch,2900,,Invertivore
1891,Erie,Blue Pike,,,Piscivore
1891,Erie,Channel Catfish and Bullheads,,,Benthic omnivore
1891,Erie,Cisco,5543,,Planktivore
1891,Erie,Lake Sturgeon,388,,Benthic invertivore
1891,Erie,Lake Whitefish,350,,Benthic invertivore
1891,Erie,Northern Pike,43,,Piscivore
1891,Erie,Sauger,,,Piscivore
1891,Erie,Suckers,,,Benthic omnivore
1891,Erie,Walleye,,,Piscivore
1891,Erie,Walleye and Blue Pike,895,,Piscivore
1891,Erie,Yellow Perch,,,Invertivore
1892,Erie,Blue Pike,,,Piscivore
1892,Erie,Carp,20,,Benthic omnivore
1892,Erie,Channel Catfish and Bullheads,,,Benthic omnivore
1892,Erie,Cisco,6126,,Planktivore
1892,Erie,Lake Sturgeon,362,,Benthic invertivore
1892,Erie,Lake Whitefish,312,,Benthic invertivore
1892,Erie,Northern Pike,130,,Piscivore
1892,Erie,Sauger,,,Piscivore
1892,Erie,Suckers,,,Benthic omnivore
1892,Erie,Walleye,,,Piscivore
1892,Erie,Walleye and Blue Pike,1494,,Piscivore
1892,Erie,Yellow Perch,,,Invertivore
1893,Erie,Blue Pike,,,Piscivore
1893,Erie,Burbot,32,,Piscivore
1893,Erie,Carp,636,,Benthic omnivore
1893,Erie,Channel Catfish and Bullheads,777,,Benthic omnivore
1893,Erie,Cisco,27105,,Planktivore
1893,Erie,Lake Sturgeon,1151,,Benthic invertivore
1893,Erie,Lake Whitefish,1548,,Benthic invertivore
1893,Erie,Northern Pike,432,,Piscivore
1893,Erie,Sauger,,,Piscivore
1893,Erie,Suckers,1361,,Benthic omnivore
1893,Erie,Walleye,,,Piscivore
1893,Erie,Walleye and Blue Pike,13661,,Piscivore
1893,Erie,Yellow Perch,2595,,Invertivore
1894,Erie,Blue Pike,,,Piscivore
1894,Erie,Burbot,,,Piscivore
1894,Erie,Carp,226,,Benthic omnivore
1894,Erie,Channel Catfish and Bullheads,28,,Benthic omnivore
1894,Erie,Cisco,5224,,Planktivore
1894,Erie,Lake Sturgeon,391,,Benthic invertivore
1894,Erie,Lake Whitefish,153,,Benthic invertivore
1894,Erie,Northern Pike,40,,Piscivore
1894,Erie,Sauger,,,Piscivore
1894,Erie,Suckers,,,Benthic omnivore
1894,Erie,Walleye,,,Piscivore
1894,Erie,Walleye and Blue Pike,1922,,Piscivore
1894,Erie,Yellow Perch,563,,Invertivore
1895,Erie,Blue Pike,,,Piscivore
1895,Erie,Burbot,,,Piscivore
1895,Erie,Carp,,,Benthic omnivore
1895,Erie,Channel Catfish and Bullheads,28,,Benthic omnivore
1895,Erie,Cisco,5140,,Planktivore
1895,Erie,Lake Sturgeon,320,,Benthic invertivore
1895,Erie,Lake Whitefish,148,,Benthic invertivore
1895,Erie,Northern Pike,31,,Piscivore
1895,Erie,Sauger,,,Piscivore
1895,Erie,Suckers,,,Benthic omnivore
1895,Erie,Walleye,,,Piscivore
1895,Erie,Walleye and Blue Pike,1643,,Piscivore
1895,Erie,Yellow Perch,397,,Invertivore
1896,Erie,Blue Pike,,,Piscivore
1896,Erie,Burbot,,,Piscivore
1896,Erie,Carp,,,Benthic omnivore
1896,Erie,Channel Catfish and Bullheads,125,,Benthic omnivore
1896,Erie,Cisco,4275,,Planktivore
1896,Erie,Lake Sturgeon,218,,Benthic invertivore
1896,Erie,Lake Whitefish,126,,Benthic invertivore
1896,Erie,Northern Pike,190,,Piscivore
1896,Erie,Sauger,,,Piscivore
1896,Erie,Suckers,,,Benthic omnivore
1896,Erie,Walleye,,,Piscivore
1896,Erie,Walleye and Blue Pike,947,,Piscivore
