"dtp","Temp_deg_C","pH_units","SpCond_uS_cm","HDO_mg_l","Turb_NTU","fdom_qsu_temp","fdom_turb_ife","CDOM_qsu","X_00060_00011"
2016-05-01 09:15:00,6.33,7.88,96.4,12.2,0.98,22.3064606392888,48.6511619404672,26.624491436034,102
2016-05-01 09:30:00,6.39,7.88,96.4,12.19,0.92,22.2066445385346,48.4064106792916,26.4888743784218,101
2016-05-01 09:45:00,6.43,7.89,96.2,12.17,0.83,22.1863605044907,48.3419561184007,26.4537144005224,102
2016-05-01 10:00:00,6.47,7.89,96.5,12.16,0.95,22.2166241489974,48.4354272509366,26.4788286704506,101
2016-05-01 01:15:00,6.29,7.75,96.5,11.68,0.94,23.8788491839682,52.3472269268918,28.5130845346326,102
2016-05-01 01:30:00,6.22,7.75,96.6,11.7,0.9,23.9539866116857,52.5172530269428,28.6235873223165,102
2016-05-01 01:45:00,6.15,7.75,96.6,11.73,1.04,23.8987778613969,52.4152898068819,28.5783816364458,102
2016-05-01 02:00:00,6.08,7.75,96.7,11.76,1.08,23.8897946745148,52.4022680534014,28.5884273444171,103
2016-05-01 02:15:00,6.02,7.75,96.6,11.78,0.91,23.9881512662867,52.6004639465273,28.7240444020292,102
2016-05-01 02:30:00,5.96,7.75,96.6,11.8,0.97,23.9689879649809,52.5674590818397,28.7190215480436,102
2016-05-01 02:45:00,5.9,7.75,96.7,11.81,1.01,23.979156204808,52.5999546915913,28.7491586719574,101
2016-05-01 03:00:00,5.84,7.75,96.4,11.84,0.99,24.0018535918605,52.6497108811376,28.7943643578281,101
2016-05-01 03:15:00,5.79,7.75,96.7,11.86,1.04,24.0228244205097,52.7099993758995,28.8345471897132,103
2016-05-01 03:30:00,5.73,7.75,96.9,11.89,0.94,24.0496161607664,52.7527656031082,28.8847757295695,103
2016-05-01 03:45:00,5.67,7.75,96.7,11.9,0.99,24.072176105269,52.8168675470035,28.9299814154403,102
2016-05-01 04:00:00,5.62,7.76,96.9,11.94,0.98,24.1891055560639,53.0929514826678,29.0856898889949,103
2016-05-01 04:15:00,5.57,7.76,96.9,11.96,0.93,24.1180214415039,52.9133015598342,29.015369933196,102
2016-05-01 04:30:00,5.54,7.76,97,12,1.31,24.1229812086341,52.9356007051638,29.0304384951529,101
2016-05-01 04:45:00,5.5,7.77,97,12.04,1.01,24.0670017270647,52.8087544342055,28.975187101311,103
2016-05-01 05:00:00,5.49,7.78,97,12.09,0.97,23.9435088069295,52.5069474775375,28.8295243357276,102
2016-05-01 05:15:00,5.48,7.79,96.9,12.13,0.89,23.9368332957281,52.4744516983849,28.8245014817419,102
2016-05-01 05:30:00,5.47,7.8,96.8,12.17,1.01,23.8133787722418,52.2063973365214,28.6788387161585,101
2016-05-01 05:45:00,5.47,7.8,96.9,12.19,0.9,23.7716716704789,52.08478760933,28.6286101763022,103
2016-05-01 06:00:00,5.49,7.81,96.9,12.23,0.95,23.71824333425,51.968479624605,28.5582902205033,102
2016-05-01 06:15:00,5.52,7.82,96.8,12.26,0.87,23.5045224779933,51.4463381212601,28.2920789592647,102
2016-05-01 06:30:00,5.57,7.83,97,12.28,1.02,23.387383590932,51.1999431441868,28.13637048571,102
2016-05-01 06:45:00,5.63,7.84,96.7,12.3,0.84,23.2265854633923,50.7842173437697,27.9254106183133,102
2016-05-01 07:00:00,5.71,7.84,96.8,12.3,1.01,23.0327517907188,50.3614588493331,27.669245065046,101
2016-05-01 07:15:00,5.8,7.85,96.8,12.3,1.02,22.9790519916324,50.2370189749024,27.5788336933045,102
2016-05-01 07:30:00,5.89,7.86,96.6,12.31,0.91,22.7618384249314,49.7047440458217,27.2925310161234,102
2016-05-01 07:45:00,6.01,7.86,96.6,12.31,1.01,22.6309062871489,49.4169508570948,27.1016625646692,102
2016-05-01 08:00:00,6.04,7.87,96.5,12.29,0.99,22.6211867703428,49.3902634737561,27.0815711487267,101
2016-05-01 08:15:00,6.08,7.87,96.4,12.27,0.9,22.5844262775813,49.2866034057246,27.0263197548847,101
2016-05-01 08:30:00,6.13,7.88,96.4,12.25,0.88,22.5205737587746,49.1331162651275,26.9359083831433,102
2016-05-01 08:45:00,6.18,7.88,96.4,12.24,0.93,22.3936173620074,48.8454977285923,26.7701542016174,102
2016-05-01 09:00:00,6.25,7.88,96.3,12.22,1,22.3426197634471,48.739575658849,26.6897885378472,101
2016-05-01 19:15:00,6.81,7.76,95.4,11.58,1.06,23.8469379893991,52.2963765125995,28.3222160831785,116
2016-05-01 19:30:00,6.79,7.76,95.6,11.58,1.16,23.9773231625486,52.6268943292179,28.4829474107188,116
2016-05-01 19:45:00,6.78,7.76,95.4,11.59,0.99,24.0298111990247,52.7161526081162,28.548244512532,117
2016-05-01 20:00:00,6.76,7.75,95.3,11.59,0.95,24.206612173523,53.1282980530522,28.7642272339143,117
2016-05-01 10:15:00,6.49,7.89,96.3,12.15,0.94,22.1327049546355,48.2375160317715,26.3733487367522,100
2016-05-01 10:30:00,6.53,7.89,96.3,12.14,0.83,22.1587368033882,48.2774676171828,26.3934401526948,102
2016-05-01 10:45:00,6.54,7.89,96.5,12.12,0.86,22.1736817412255,48.318041097119,26.4085087146517,101
2016-05-01 11:00:00,6.57,7.89,96.1,12.12,0.88,22.2100948504828,48.406873255367,26.4436686925511,101
2016-05-01 11:15:00,6.6,7.89,96.2,12.1,1,22.1494659412408,48.2880163061664,26.363303028781,102
2016-05-01 11:30:00,6.64,7.89,96.3,12.1,0.93,22.1037435731873,48.1680160238741,26.2980059269677,103
2016-05-01 11:45:00,6.66,7.89,96.2,12.09,0.91,22.1167577522614,48.1946142240256,26.308051634939,102
2016-05-01 12:00:00,6.69,7.89,96.2,12.07,0.79,22.148957391438,48.2470710484809,26.3381887588528,102
2016-05-01 12:15:00,6.74,7.89,96.1,12.06,0.81,22.1308142629062,48.2085162218057,26.3030287809533,103
2016-05-01 12:30:00,6.78,7.89,96.2,12.05,0.79,22.0342571140867,47.9795399466927,26.1774574313125,102
2016-05-01 12:45:00,6.82,7.89,96.2,12.04,0.81,22.0602715098172,48.0439595492816,26.197548847255,102
2016-05-01 13:00:00,6.87,7.89,96.1,12.02,0.93,21.9446962877396,47.7970437917522,26.046863227686,103
2016-05-01 13:15:00,6.9,7.89,96,12,0.97,21.9430179993041,47.8006224982864,26.0368175197147,103
2016-05-01 13:30:00,6.96,7.89,96.1,11.98,0.9,21.9650600508171,47.838888491098,26.046863227686,105
2016-05-01 13:45:00,6.98,7.89,96,11.94,0.88,22.0416074521982,48.0136115129588,26.1322517454418,105
2016-05-01 14:00:00,7.05,7.89,96,11.92,1.07,22.0278203100348,47.9720550939804,26.0970917675423,105
2016-05-01 14:15:00,7.09,7.89,96.2,11.9,0.76,22.0114399549273,47.9207185449677,26.0669546436285,106
2016-05-01 14:30:00,7.13,7.88,96.1,11.86,0.83,22.0332269181594,47.9846609987752,26.0820232055854,106
