Date,CDOM_ug_l,TurbDig_NTU,,
2015-05-20T21:45:00Z,67.54,5.5,0,0
2015-05-20T22:00:00Z,67.91,5.7,0,0
2015-05-20T22:15:00Z,68.28,5,0,0
2015-05-20T22:30:00Z,68.47,4.5,0,0
2015-05-20T22:45:00Z,68.94,4.9,0,0
2015-05-20T23:00:00Z,69.25,5.4,0,0
2015-05-20T23:15:00Z,69.48,5.1,0,0
2015-05-20T23:30:00Z,69.93,4.4,0,0
2015-05-20T23:45:00Z,70.06,4.4,0,0
2015-05-21T00:00:00Z,70.39,5.5,0,0
2015-05-21T00:15:00Z,70.71,5.5,0,0
2015-05-21T00:30:00Z,71.17,5,0,0
2015-05-21T00:45:00Z,71.34,5.7,0,0
2015-05-21T01:00:00Z,71.56,5.8,0,0
2015-05-21T01:15:00Z,71.64,5,0,0
2015-05-21T01:30:00Z,71.96,5.5,0,0
2015-05-21T01:45:00Z,72.03,7.6,0,0
2015-05-21T02:00:00Z,72.23,5.3,0,0
2015-05-21T02:15:00Z,72.45,6,0,0
2015-05-21T02:30:00Z,72.52,4.5,0,0
2015-05-21T02:45:00Z,72.44,5.9,0,0
2015-05-21T03:00:00Z,72.51,7.8,0,0
2015-05-21T03:15:00Z,72.85,5.5,0,0
2015-05-21T03:30:00Z,72.46,5.8,0,0
2015-05-21T03:45:00Z,72.99,7.7,0,0
2015-05-21T04:00:00Z,73.02,5.1,0,0
2015-05-21T04:15:00Z,73.08,6.1,0,0
2015-05-21T04:30:00Z,72.93,5.7,0,0
2015-05-21T04:45:00Z,73.39,6,0,0
2015-05-21T05:00:00Z,73.36,5.5,0,0
2015-05-21T05:15:00Z,73.67,8.8,0,0
2015-05-21T05:30:00Z,73.73,8.8,0,0
2015-05-21T05:45:00Z,73.94,5.7,0,0
2015-05-21T06:00:00Z,74.21,8.8,0,0
2015-05-21T06:15:00Z,74.33,6.6,0,0
2015-05-21T06:30:00Z,74.72,8.7,0,0
2015-05-21T06:45:00Z,74.88,7.7,0,0
2015-05-21T07:00:00Z,75.11,6.6,0,0
2015-05-21T07:15:00Z,75.62,6.7,0,0
2015-05-21T07:30:00Z,75.96,7.7,0,0
2015-05-21T07:45:00Z,76.43,8.8,0,0
2015-05-21T08:00:00Z,76.4,7.8,0,0
2015-05-21T08:15:00Z,76.73,10.9,0,0
2015-05-21T08:30:00Z,77.29,6.9,0,0
2015-05-21T08:45:00Z,77.32,7.7,0,0
2015-05-21T09:00:00Z,77.99,7.5,0,0
2015-05-21T09:15:00Z,78.46,6.6,0,0
2015-05-21T09:30:00Z,78.77,7.7,0,0
2015-05-21T09:45:00Z,78.94,8.3,0,0
2015-05-21T10:00:00Z,79.31,7.7,0,0
2015-05-21T10:15:00Z,79.3,15.4,0,0
2015-05-21T10:30:00Z,79.57,11.1,0,0
2015-05-21T10:45:00Z,79.94,6.8,0,0
2015-05-21T11:00:00Z,80.17,9.6,0,0
2015-05-21T11:15:00Z,80.35,10.1,0,0
2015-05-21T11:30:00Z,80.5,9.6,0,0
2015-05-21T11:45:00Z,80.7,9.8,0,0
2015-05-21T12:00:00Z,80.49,8.3,0,0
2015-05-21T12:15:00Z,80.7,8.7,0,0
2015-05-21T12:30:00Z,80.71,7.5,0,0
2015-05-21T12:45:00Z,80.94,7,0,0
2015-05-21T13:00:00Z,81.07,8.5,0,0
2015-05-21T13:15:00Z,81.11,8.8,0,0
2015-05-21T13:30:00Z,81.27,8.4,0,0
2015-05-21T13:45:00Z,81.18,8.7,0,0
2015-05-21T14:00:00Z,81,12.1,0,0
2015-05-21T14:15:00Z,81.12,7.7,0,0
2015-05-21T14:30:00Z,80.4,8,0,0
2015-05-21T14:45:00Z,80.64,7.7,0,0
2015-05-21T15:00:00Z,80.14,7.9,0,0
2015-05-21T15:15:00Z,80.23,6.7,0,0
2015-05-21T15:30:00Z,80.08,7.1,0,0
2015-05-21T15:45:00Z,79.85,7.3,0,0
2015-05-21T16:00:00Z,79.91,6.8,0,0
2015-05-21T16:15:00Z,79.87,7.6,0,0
2015-05-21T16:30:00Z,80.01,7.6,0,0
2015-05-21T16:45:00Z,79.77,9.9,0,0
2015-05-21T17:00:00Z,79.62,7.7,0,0
2015-05-21T17:15:00Z,79.5,6.7,0,0
2015-05-21T17:30:00Z,79.15,7.6,0,0
2015-05-21T17:45:00Z,79.57,6.9,0,0
2015-05-21T18:00:00Z,79.51,6.8,0,0
2015-05-21T18:15:00Z,79.44,6.6,0,0
2015-05-21T18:30:00Z,78.98,6.8,0,0
2015-05-21T18:45:00Z,78.92,6.5,0,0
2015-05-21T19:00:00Z,78.82,6.1,0,0
2015-05-21T19:15:00Z,78.77,6.4,0,0
2015-05-21T19:30:00Z,78.78,8.8,0,0
2015-05-21T19:45:00Z,78.51,6,0,0
2015-05-21T20:00:00Z,78.5,6,0,0
2015-05-21T20:15:00Z,78.53,6.4,0,0
2015-05-21T20:30:00Z,78.35,6.2,0,0
2015-05-21T20:45:00Z,78.52,6.5,0,0
2015-05-21T21:00:00Z,78.44,6.3,0,0
2015-05-21T21:15:00Z,78.23,6.8,0,0
2015-05-21T21:30:00Z,78.4,6.4,0,0
2015-05-21T21:45:00Z,78.53,5.8,0,0
2015-05-21T22:00:00Z,78.46,11,0,0
2015-05-21T22:15:00Z,78.44,6.1,0,0
2015-05-21T22:30:00Z,78.48,6.2,0,0
2015-05-21T22:45:00Z,78.4,5.9,0,0
2015-05-21T23:00:00Z,78.42,5.5,0,0
2015-05-21T23:15:00Z,78.42,6.1,0,0
2015-05-21T23:30:00Z,78.56,5.6,0,0
2015-05-21T23:45:00Z,78.38,5.8,0,0
2015-05-22T00:00:00Z,78.29,5.7,0,0
2015-05-22T00:15:00Z,78.17,5.6,0,0
2015-05-22T00:30:00Z,78.18,6.3,0,0
2015-05-22T00:45:00Z,78.18,6.3,0,0
2015-05-22T01:00:00Z,78.3,5.5,0,0
2015-05-22T01:15:00Z,78.06,5.8,0,0
2015-05-22T01:30:00Z,77.95,6.1,0,0
2015-05-22T01:45:00Z,78.27,13.3,0,0
2015-05-22T02:00:00Z,77.99,6,0,0
2015-05-22T02:15:00Z,77.93,5.3,0,0
2015-05-22T02:30:00Z,77.8,5.7,0,0
2015-05-22T02:45:00Z,77.55,12.1,0,0
2015-05-22T03:00:00Z,77.71,5.3,0,0
2015-05-22T03:15:00Z,77.55,5.9,0,0
2015-05-22T03:30:00Z,77.41,5.7,0,0
2015-05-22T03:45:00Z,77.46,5.5,0,0
2015-05-22T04:00:00Z,77.17,6.2,0,0
2015-05-22T04:15:00Z,77.2,6.3,0,0
2015-05-22T04:30:00Z,77.16,5.8,0,0
2015-05-22T04:45:00Z,77.16,6,0,0
2015-05-22T05:00:00Z,77.06,5.9,0,0
2015-05-22T05:15:00Z,77.01,6,0,0
2015-05-22T05:30:00Z,76.76,5.9,0,0
2015-05-22T05:45:00Z,76.85,5.9,0,0
2015-05-22T06:00:00Z,76.58,5.5,0,0
2015-05-22T06:15:00Z,76.47,6,0,0
2015-05-22T06:30:00Z,76.36,5.7,0,0
2015-05-22T06:45:00Z,76.1,6.1,0,0
2015-05-22T07:00:00Z,76.23,6.2,0,0
2015-05-22T07:15:00Z,76.07,5.5,0,0
2015-05-22T07:30:00Z,76,5.7,0,0
2015-05-22T07:45:00Z,75.81,6.3,0,0
2015-05-22T08:00:00Z,76.17,6.3,0,0
2015-05-22T08:15:00Z,75.96,7.7,0,0
2015-05-22T08:30:00Z,75.73,5.5,0,0
2015-05-22T08:45:00Z,75.35,4.7,0,0
2015-05-22T09:00:00Z,75.54,5.6,0,0
2015-05-22T09:15:00Z,75.57,5.6,0,0
2015-05-22T09:30:00Z,75.36,5.3,0,0
2015-05-22T09:45:00Z,75.34,5.4,0,0
2015-05-22T10:00:00Z,75.4,5.8,0,0
2015-05-22T10:15:00Z,75.19,5.6,0,0
2015-05-22T10:30:00Z,75.18,5.4,0,0
2015-05-22T10:45:00Z,75.14,5.8,0,0
2015-05-22T11:00:00Z,74.99,5.6,0,0
2015-05-22T11:15:00Z,75.11,5.7,0,0
2015-05-22T11:30:00Z,74.75,5.4,0,0
2015-05-22T11:45:00Z,74.82,5.5,0,0
2015-05-22T12:00:00Z,74.47,5.6,0,0
2015-05-22T12:15:00Z,74.23,6.4,0,0
2015-05-22T12:30:00Z,74.12,6,0,0
2015-05-22T12:45:00Z,73.78,5.7,0,0
2015-05-22T13:00:00Z,73.64,6,0,0
2015-05-22T13:15:00Z,73.53,5.7,0,0
2015-05-22T13:30:00Z,73.42,5.7,0,0
2015-05-22T13:45:00Z,73,5.9,0,0
2015-05-22T14:00:00Z,73.14,6,0,0
2015-05-22T14:15:00Z,72.45,6,0,0
2015-05-22T14:30:00Z,72.53,5.5,0,0
2015-05-22T14:45:00Z,72.32,5.3,0,0
2015-05-22T15:00:00Z,72.21,6,0,0
2015-05-22T15:15:00Z,72.14,5.6,0,0
2015-05-22T15:30:00Z,71.64,5.5,0,0
2015-05-22T15:45:00Z,71.32,5.7,0,0
2015-05-22T16:00:00Z,71.35,4.6,0,0
2015-05-22T16:15:00Z,71.23,5.4,0,0
2015-05-22T16:30:00Z,71.42,5.3,0,0
2015-05-22T16:45:00Z,71.08,5.1,0,0
2015-05-22T17:00:00Z,70.81,5.2,0,0
2015-05-22T17:15:00Z,70.76,6.7,0,0
2015-05-22T17:30:00Z,70.44,12.1,0,0
2015-05-22T17:45:00Z,70.22,5.7,0,0
2015-05-22T18:00:00Z,70.03,5,0,0
2015-05-22T18:15:00Z,69.76,4.6,0,0
2015-05-22T18:30:00Z,69.83,4.7,0,0
2015-05-22T18:45:00Z,69.45,6.5,0,0
2015-05-22T19:00:00Z,69.37,4.4,0,0
2015-05-22T19:15:00Z,68.93,4.4,0,0
2015-05-22T19:30:00Z,68.76,4.9,0,0
2015-05-22T19:45:00Z,68.56,4.4,0,0
2015-05-22T20:00:00Z,68.67,4.8,0,0
2015-05-22T20:15:00Z,68.56,5.4,0,0
2015-05-22T20:30:00Z,68.32,4.4,0,0
2015-05-22T20:45:00Z,68.19,7.7,0,0
2015-05-22T21:00:00Z,67.99,4.7,0,0
2015-05-22T21:15:00Z,67.95,4.3,0,0
2015-05-22T21:30:00Z,67.54,4.5,0,0
2015-05-22T21:45:00Z,67.74,6.6,0,0
2015-05-22T22:00:00Z,67.53,4.7,0,0
2015-05-22T22:15:00Z,67.38,4.5,0,0
2015-05-22T22:30:00Z,67.57,4.6,0,0
2015-05-22T22:45:00Z,67.55,4.2,0,0
2015-05-22T23:00:00Z,67.71,3.9,0,0
2015-05-22T23:15:00Z,67.48,4.3,0,0
2015-05-22T23:30:00Z,67.4,4.5,0,0
2015-05-22T23:45:00Z,67.53,4.3,0,0
2015-05-23T00:00:00Z,67.63,4.7,0,0
2015-05-23T00:15:00Z,67.64,4.6,0,0
2015-05-23T00:30:00Z,67.73,5.4,0,0
2015-05-23T00:45:00Z,67.89,4.4,0,0
2015-05-23T01:00:00Z,67.57,4.6,0,0
2015-05-23T01:15:00Z,67.71,4.8,0,0
2015-05-23T01:30:00Z,67.64,4.6,0,0
2015-05-23T01:45:00Z,67.74,4.7,0,0
2015-05-23T02:00:00Z,67.73,5.4,0,0
2015-05-23T02:15:00Z,67.85,4.4,0,0
2015-05-23T02:30:00Z,67.95,4.5,0,0
2015-05-23T02:45:00Z,67.82,5,0,0
2015-05-23T03:00:00Z,67.94,5,0,0
2015-05-23T03:15:00Z,67.98,4.6,0,0
2015-05-23T03:30:00Z,68.06,6.6,0,0
2015-05-23T03:45:00Z,68.2,4.4,0,0
2015-05-23T04:00:00Z,68.31,4.6,0,0
2015-05-23T04:15:00Z,68.16,4.4,0,0
2015-05-23T04:30:00Z,68.31,4.7,0,0
2015-05-23T04:45:00Z,68.33,4.4,0,0
2015-05-23T05:00:00Z,68.39,4.5,0,0
2015-05-23T05:15:00Z,68.62,7.7,0,0
2015-05-23T05:30:00Z,68.64,4.6,0,0
2015-05-23T05:45:00Z,68.7,4.4,0,0
2015-05-23T06:00:00Z,68.55,4.6,0,0
2015-05-23T06:15:00Z,68.82,4.6,0,0
2015-05-23T06:30:00Z,68.83,4.6,0,0
2015-05-23T06:45:00Z,68.99,4.4,0,0
2015-05-23T07:00:00Z,69.01,4.5,0,0
2015-05-23T07:15:00Z,69.16,3.6,0,0
2015-05-23T07:30:00Z,69.03,4.7,0,0
2015-05-23T07:45:00Z,69.08,5.5,0,0
2015-05-23T08:00:00Z,69.21,4.8,0,0
2015-05-23T08:15:00Z,69.35,4.6,0,0
2015-05-23T08:30:00Z,69.19,4.6,0,0
2015-05-23T08:45:00Z,69.3,4.4,0,0
2015-05-23T09:00:00Z,69.17,5.4,0,0
2015-05-23T09:15:00Z,69.15,4.5,0,0
2015-05-23T09:30:00Z,69.55,4.4,0,0
2015-05-23T09:45:00Z,69.6,4.6,0,0
2015-05-23T10:00:00Z,69.5,4.7,0,0
2015-05-23T10:15:00Z,69.47,4.9,0,0
2015-05-23T10:30:00Z,69.59,4.8,0,0
2015-05-23T10:45:00Z,69.34,4.4,0,0
