dtp,Temp_deg_C,SpCond_uS_cm
6/4/15 8:15,17.33,0.3
6/4/15 19:30,14.05,94.1
6/4/15 19:45,13.97,94.2
6/4/15 20:00,13.87,94.3
6/4/15 20:15,13.78,94.5
6/4/15 20:30,13.69,94.7
6/4/15 20:45,13.59,94.8
6/4/15 21:00,13.49,95.1
6/4/15 21:15,13.39,95.3
6/4/15 21:30,13.29,95.4
6/4/15 21:45,13.19,95.4
6/4/15 11:45,14.33,92.4
6/4/15 12:00,14.51,91.5
6/4/15 12:15,14.69,91.6
6/4/15 12:30,14.83,91.6
6/4/15 12:45,15,91.6
6/4/15 13:00,15.13,91.6
6/4/15 13:15,15.26,91.7
6/4/15 13:30,15.35,91.7
6/4/15 13:45,15.44,91.7
6/4/15 14:00,15.51,91.9
6/4/15 14:15,15.55,92
6/4/15 14:30,15.57,92.1
6/4/15 14:45,15.58,92.1
6/4/15 15:00,15.56,92.2
6/4/15 15:15,15.51,92.3
6/4/15 15:30,15.46,92.4
6/4/15 15:45,15.38,92.6
6/4/15 16:00,15.31,92.7
6/4/15 16:15,15.23,92.8
6/4/15 16:30,15.14,92.8
6/4/15 16:45,15.05,92.9
6/4/15 17:00,14.97,93
6/4/15 17:15,14.88,93.2
6/4/15 17:30,14.79,93.3
6/4/15 17:45,14.7,93.4
6/4/15 18:00,14.61,93.6
6/4/15 18:15,14.51,93.6
6/4/15 8:30,10.77,91.7
6/4/15 8:45,10.98,91.7
6/4/15 9:00,11.26,91.8
6/4/15 9:15,11.54,91.8
6/4/15 9:30,11.84,92
6/4/15 9:45,12.17,92.1
6/4/15 10:00,12.51,92.2
6/4/15 10:15,12.83,92.2
6/4/15 10:30,13.12,92.3
6/4/15 10:45,13.38,92.4
6/4/15 11:00,13.63,92.4
6/4/15 11:15,13.87,92.2
6/4/15 11:30,14.12,92.3
6/4/15 19:15,14.14,93.9
6/4/15 18:30,14.42,93.6
6/4/15 18:45,14.32,93.8
6/4/15 19:00,14.23,93.9
6/4/15 22:00,13.09,95.5
6/4/15 23:15,12.61,95.9
6/4/15 23:30,12.51,96.7
6/4/15 23:45,12.42,97
6/5/15 0:00,12.34,96.9
6/5/15 0:15,12.25,97.1
6/5/15 0:30,12.16,97.1
6/5/15 0:45,12.09,97.1
6/5/15 1:00,12.01,97.3
6/5/15 1:15,11.94,97.4
6/4/15 22:15,12.99,95.7
6/4/15 22:30,12.89,95.6
6/4/15 22:45,12.8,95.7
6/4/15 23:00,12.7,95.7
6/5/15 2:30,11.61,97.6
6/5/15 2:45,11.55,97.8
6/5/15 3:00,11.49,97.8
6/5/15 3:15,11.44,97.8
6/5/15 3:30,11.39,97.9
6/5/15 3:45,11.36,98
6/5/15 4:00,11.33,98.2
6/5/15 4:15,11.3,98.1
6/5/15 4:30,11.28,98.1
6/5/15 1:30,11.87,97.6
6/5/15 1:45,11.8,97.7
6/5/15 2:00,11.74,97.6
6/5/15 2:15,11.68,97.7
6/5/15 5:45,11.31,98.6
6/5/15 6:00,11.4,98.6
6/5/15 6:15,11.46,98.7
6/5/15 6:30,11.55,98.6
6/5/15 6:45,11.64,98.6
6/5/15 7:00,11.72,98.8
6/5/15 7:15,11.79,97.9
6/5/15 7:30,11.84,97.8
6/5/15 7:45,11.98,98
6/5/15 8:00,12.07,98
6/5/15 8:15,12.21,98.1
6/5/15 8:30,12.35,98
6/5/15 8:45,12.57,98.1
6/5/15 9:00,12.78,98
6/5/15 9:15,12.99,98.1
6/5/15 9:30,13.05,98.1
6/5/15 9:45,13.04,97.9
6/5/15 10:00,13.12,97.8
6/5/15 10:15,13.28,97.7
6/5/15 10:30,13.64,97.7
6/5/15 10:45,14.03,97.7
6/5/15 11:00,14.41,97.8
6/5/15 11:15,14.5,97.9
6/5/15 11:30,14.54,97.9
6/5/15 11:45,14.68,98
6/5/15 12:00,14.78,98
6/5/15 12:15,14.81,98
6/5/15 12:30,14.87,97.9
6/5/15 12:45,14.88,98.1
6/5/15 13:00,14.79,98.1
6/5/15 13:15,14.73,98.1
6/5/15 13:30,14.68,98.1
6/5/15 13:45,14.65,98.2
6/5/15 14:00,14.63,98.1
6/5/15 14:15,14.66,98.2
6/5/15 14:30,14.7,98.1
6/5/15 4:45,11.26,98.3
6/5/15 5:00,11.26,98.3
6/5/15 5:15,11.28,98.5
6/5/15 5:30,11.31,98.5
6/5/15 15:30,14.59,98.3
6/5/15 15:45,14.64,98.3
6/5/15 16:00,14.71,98.3
6/5/15 16:15,14.73,98.3
6/5/15 16:30,14.73,98.3
6/5/15 16:45,14.72,98.4
6/5/15 17:00,14.68,98.5
6/5/15 17:15,14.62,98.6
6/5/15 17:30,14.6,98.6
6/5/15 17:45,14.56,98.7
6/5/15 18:00,14.52,98.8
6/5/15 18:15,14.47,99
6/5/15 18:30,14.42,98.9
6/5/15 18:45,14.37,99
6/5/15 19:00,14.32,99.1
6/5/15 19:15,14.27,99.2
6/5/15 19:30,14.22,98.6
6/5/15 19:45,14.18,98
6/5/15 20:00,14.13,97.9
6/5/15 20:15,14.1,98.3
6/5/15 20:30,14.06,98.7
6/5/15 20:45,14.02,99.2
6/5/15 21:00,13.97,99.7
6/5/15 21:15,13.92,98.7
6/5/15 21:30,13.84,98.3
6/5/15 21:45,13.75,99.3
6/5/15 15:15,14.6,98.3
6/5/15 14:45,14.7,98.3
6/5/15 15:00,14.65,98.2
6/6/15 8:30,12.59,67.1
6/6/15 8:45,12.75,67.3
6/6/15 9:30,13.09,68.1
6/6/15 9:45,13.21,68.4
6/6/15 9:00,12.84,67.7
6/6/15 9:15,12.97,67.9
6/6/15 10:30,13.67,69.1
6/6/15 10:45,13.83,69.5
6/6/15 10:00,13.39,68.7
6/6/15 10:15,13.55,69
6/6/15 8:15,12.44,66.9
6/6/15 1:45,12.57,76.2
6/6/15 2:00,12.5,76.2
6/6/15 2:15,12.44,74.9
6/6/15 2:30,12.39,73.3
6/6/15 2:45,12.35,71.5
6/6/15 3:00,12.31,69.9
6/6/15 3:15,12.28,68.7
6/6/15 3:30,12.25,67.6
6/6/15 3:45,12.22,66.7
6/6/15 4:00,12.19,66
6/6/15 4:15,12.16,65.4
6/6/15 4:30,12.14,65
6/6/15 4:45,12.13,64.8
6/6/15 5:00,12.11,64.7
6/6/15 5:15,12.1,64.7
6/6/15 5:30,12.09,64.7
6/6/15 5:45,12.09,64.9
6/6/15 6:00,12.08,65
6/6/15 6:15,12.09,63.2
6/6/15 6:30,12.11,65.2
6/6/15 6:45,12.12,65.5
6/6/15 7:00,12.16,65.7
6/6/15 7:15,12.19,66
6/6/15 7:30,12.2,65.9
6/6/15 7:45,12.23,66.3
6/6/15 8:00,12.26,66.6
6/6/15 18:15,14.04,76.8
6/6/15 18:30,13.95,77
6/6/15 18:45,13.86,77.2
6/6/15 19:00,13.76,77.4
6/6/15 19:15,13.67,77.8
6/6/15 19:30,13.57,78
6/6/15 19:45,13.45,78.3
6/6/15 20:00,13.34,78.5
6/6/15 20:15,13.23,78.7
6/6/15 20:30,13.13,78.9
6/6/15 20:45,13.02,79
6/6/15 11:00,13.98,69.8
6/6/15 11:15,14.13,70
6/6/15 11:30,14.28,70.4
6/6/15 11:45,14.42,70.6
6/6/15 12:00,14.54,70.9
6/6/15 12:15,14.65,71
6/6/15 12:30,14.74,71.3
6/6/15 12:45,14.81,71.6
6/6/15 13:00,14.89,71.8
6/6/15 13:15,14.93,72
6/6/15 13:30,14.98,72.3
6/6/15 13:45,15.02,72.5
6/6/15 14:00,15.04,72.7
6/6/15 14:15,15.07,72.9
6/6/15 14:30,15.07,73.3
6/6/15 14:45,15.04,73.4
6/6/15 15:00,15.01,73.7
6/6/15 15:15,14.97,73.9
6/6/15 15:30,14.91,74.2
6/6/15 15:45,14.84,74.4
6/6/15 16:00,14.78,74.7
6/6/15 16:15,14.69,74.9
6/6/15 16:30,14.62,75.1
6/6/15 16:45,14.54,75.3
6/6/15 17:00,14.46,75.6
6/6/15 17:15,14.38,75.7
6/6/15 17:30,14.3,76
6/6/15 17:45,14.21,76.2
6/6/15 18:00,14.13,76.5
6/5/15 22:00,13.66,99.5
6/5/15 22:15,13.54,99.6
6/5/15 22:30,13.41,98.9
6/5/15 22:45,13.3,97.7
6/5/15 23:00,13.22,96.1
6/5/15 23:15,13.15,95.4
6/5/15 23:30,13.11,94.1
6/5/15 23:45,13.07,93
6/6/15 0:00,13.05,90.9
6/6/15 0:15,13.06,91.3
6/6/15 0:30,13.05,90.1
6/6/15 0:45,12.97,87.1
6/6/15 1:00,12.88,83.2
6/6/15 1:15,12.77,78.6
6/6/15 1:30,12.67,76.7
6/6/15 21:45,12.63,79.6
6/6/15 21:30,12.72,79.4
6/6/15 21:00,12.92,79.1
6/6/15 21:15,12.82,79.2
6/7/15 9:00,11.61,86.2
6/7/15 8:45,11.42,86.1
6/7/15 10:00,12.19,86.5
6/7/15 9:15,11.78,86.2
6/7/15 9:30,11.91,86.4
6/7/15 9:45,12.03,86.4
6/7/15 11:00,12.62,86.8
