"dtp","Temp_deg_C","pH_units","SpCond_uS_cm","HDO_mg_l","Turb_NTU","fdom_qsu_temp","fdom_turb_ife","CDOM_qsu","X_00060_00011"
2015-08-31 23:15:00,14.04,14.25,0.1,9.83,2.7,29.0523913136884,65.421539975066,32.109447988347,35
2015-08-31 23:30:00,14.69,12,0.1,9.7,3,29.2748518783935,66.0656007588143,32.1546536742177,35
2015-08-31 23:45:00,14.22,12.09,0.1,9.8,2.8,29.312013220563,66.1054331535269,32.3404992716862,35
2015-09-01 00:00:00,14.24,11.88,0.1,9.81,3.5,29.2948650946472,66.0891600739015,32.315385001758,35
2015-09-01 00:15:00,14.25,11.73,0.1,9.8,3.1,29.3887483495575,66.3819411730321,32.4158420814707,35
2015-09-01 00:30:00,13.28,13.79,0.1,10.01,2.9,29.2283929492717,65.9207046555901,32.5414134311116,35
2015-09-01 00:45:00,13.78,12.18,0.1,9.91,3,29.3788000069393,66.3293550380995,32.5514591390828,35
2015-09-01 01:00:00,12.83,13.77,0.1,10.12,2.8,29.1550886808727,65.7080729821009,32.6016876789392,34
2015-08-31 22:00:00,15.22,13.07,0.1,9.58,2.6,28.9770677494146,65.204610737047,31.6674368376111,36
2015-08-31 22:15:00,14.79,14.01,0.1,9.66,3,28.9594815810329,65.2673104067838,31.7779396252951,36
2015-08-31 22:30:00,15.38,11.74,0.1,9.55,3.6,29.1315565788626,65.6485470849827,31.7879853332664,36
2015-08-31 22:45:00,14.58,14.03,0.1,9.7,2.6,28.9928753923653,65.244486227422,31.8783967050078,36
2015-08-31 23:00:00,14.7,13.34,0.1,9.69,2.7,29.1130012987153,65.5746759804854,31.9738309307348,35
2015-09-01 02:30:00,13.46,12.96,0.1,9.99,3.1,29.4962035625545,66.6550913797627,32.782510422422,35
2015-09-01 02:45:00,12.68,13.87,0.1,10.18,3.3,29.2785641363594,66.1566249165825,32.7875332764077,35
2015-09-01 03:00:00,13.46,12.23,0.8,10,3,29.4284135481309,66.4553539117976,32.7071676126375,34
2015-09-01 03:15:00,12.86,13.5,0.1,10.13,3.1,29.266927375964,66.0726819895073,32.7172133206088,35
2015-09-01 03:30:00,13.09,12.2,0.1,10.08,2.7,29.4448749878215,66.4150651604508,32.8427846702496,35
2015-09-01 03:45:00,13.06,12.17,0.7,10.09,3.3,29.5263536468211,66.7868312917061,32.9432417499623,35
2015-09-01 04:00:00,12.77,12.6,0.1,10.16,3.2,29.4792777249252,66.6394968758795,32.9834245818474,34
