"dt","Temp_deg_C","pH_units","SpCond_uS_cm","HDO_mg_l","fdom_qsu_temp","fdom_turb_ife","CDOM_qsu"
"2015-05-20T17:45:00.000Z",17.99,7.24,223.1,8.89,29.9233180265553,68.4172345122613,32.6689052339836
"2015-05-20T18:00:00.000Z",17.97,7.22,223.1,8.86,30.0960706723799,68.9158923926084,32.8661123547596
"2015-05-20T18:15:00.000Z",17.93,7.21,223.4,8.83,30.2608008286624,69.1397097211807,33.0633194755357
"2015-05-20T18:30:00.000Z",17.88,7.19,224.7,8.75,30.3336051129086,69.1840488466486,33.1645879970152
"2015-05-20T18:45:00.000Z",17.84,7.18,224.5,8.71,30.5467032978899,69.843348479825,33.4150943396226
"2015-05-20T19:00:00.000Z",17.81,7.17,224.4,8.66,30.6856697293159,70.3439686818059,33.5803219272999
"2015-05-20T19:15:00.000Z",17.75,7.16,224.4,8.62,30.7734468982519,70.4828388274971,33.702910137512
"2015-05-20T19:30:00.000Z",17.71,7.16,224,8.57,30.9761683175968,70.8001619110663,33.9427566357531
"2015-05-20T19:45:00.000Z",17.68,7.15,223.7,8.53,31.0271683624412,70.9310165782172,34.0120456241339
"2015-05-20T20:00:00.000Z",17.64,7.14,223.3,8.49,31.1712248629388,71.6241900934871,34.1879330561774
"2015-05-20T20:15:00.000Z",17.6,7.13,223.1,8.46,31.3102556071119,71.9833134211445,34.3584905660377
"2015-05-20T20:30:00.000Z",17.56,7.12,222.6,8.42,31.517085812178,72.3690861412135,34.603666986462
"2015-05-20T20:45:00.000Z",17.53,7.12,222.4,8.4,31.5871338868738,72.759523367551,34.6942756635753
"2015-05-20T21:00:00.000Z",17.5,7.11,222.1,8.38,31.6813701294445,73.0339594494739,34.8115339516043
"2015-05-20T21:15:00.000Z",17.46,7.11,221.7,8.37,31.7034608283049,72.8507267141554,34.8541733290694
"2015-05-20T21:30:00.000Z",17.43,7.11,221.2,8.36,31.8460031161956,73.3706210351792,35.0247308389297
"2015-05-20T21:45:00.000Z",17.4,7.11,220.9,8.36,31.8673157349474,73.4259228935232,35.0620402942117
"2015-05-20T22:00:00.000Z",17.36,7.1,220.2,8.35,31.9473358591608,73.5729241724576,35.1686387378744
"2015-05-20T22:15:00.000Z",17.33,7.1,220.1,8.34,32.0411625002285,74.0299153892683,35.2858970259034
"2015-05-20T22:30:00.000Z",17.3,7.1,219.7,8.35,32.062336455133,73.6280054394732,35.3232064811854
"2015-05-20T22:45:00.000Z",17.26,7.1,218.9,8.35,32.0067142052949,73.9097149891063,35.2805671037203
"2015-05-20T23:00:00.000Z",17.22,7.1,218.7,8.35,32.0236245088859,73.9232169574971,35.3178765590022
"2015-05-20T23:15:00.000Z",17.19,7.1,218.1,8.36,32.1751709820258,74.2257117054931,35.4990939132289
"2015-05-20T23:30:00.000Z",17.14,7.1,217.9,8.36,31.965612126245,73.7723293138935,35.2912269480866
"2015-05-20T23:45:00.000Z",17.12,7.1,217.5,8.36,32.212948518647,75.0023595971783,35.5737128237928
"2015-05-21T00:00:00.000Z",17.07,7.1,217.2,8.36,32.2060934483009,74.183561658696,35.5897025903422
"2015-05-21T00:15:00.000Z",17.04,7.1,216.6,8.36,32.222220559752,74.53251129552,35.621682123441
"2015-05-21T00:30:00.000Z",17,7.1,216.1,8.37,32.1328570524357,74.1768785530435,35.541733290694
"2015-05-21T00:45:00.000Z",16.96,7.1,216.1,8.36,32.3373561712575,74.8021055628504,35.7869097111182
"2015-05-21T01:00:00.000Z",16.92,7.1,215.6,8.35,32.3057533922633,74.5655038397748,35.7709199445688
"2015-05-21T01:15:00.000Z",16.88,7.09,215.2,8.34,32.4377416837887,75.9382262893297,35.936147532246
"2015-05-21T01:30:00.000Z",16.85,7.09,214.8,8.32,32.4536713430333,75.9803662463163,35.9681270653448
"2015-05-21T01:45:00.000Z",16.8,7.09,214.6,8.3,32.5330349835893,75.2198455240568,36.0800554311907
"2015-05-21T02:00:00.000Z",16.76,7.08,213.6,8.28,32.6454237848936,76.4880149566043,36.2239633301354
"2015-05-21T02:15:00.000Z",16.72,7.08,213.2,8.25,32.6856621571037,75.9004362010325,36.287922396333
"2015-05-21T02:30:00.000Z",16.68,7.07,212.6,8.22,32.8553925001686,77.0128086564106,36.4957893614753
"2015-05-21T02:45:00.000Z",16.64,7.07,211.7,8.19,32.9146220308826,76.8509159378527,36.5810681164055
"2015-05-21T03:00:00.000Z",16.61,7.06,210.9,8.16,33.0117222795681,76.7569550910325,36.7036563266176
"2015-05-21T03:15:00.000Z",16.57,7.06,209.8,8.12,33.2384740234374,77.3858814745795,36.9754823579576
"2015-05-21T03:30:00.000Z",16.53,7.05,209,8.08,33.3835573938239,78.091677654584,37.1566997121842
"2015-05-21T03:45:00.000Z",16.5,7.04,208.2,8.05,33.595171389996,79.0130596126054,37.4072060547916
"2015-05-21T04:00:00.000Z",16.45,7.03,207.1,8.01,33.5583969351398,78.5880010759593,37.3912162882422
"2015-05-21T04:15:00.000Z",16.42,7.03,206.1,7.97,33.7027431216675,79.9953892890721,37.5671037202857
"2015-05-21T04:30:00.000Z",16.39,7.02,205.5,7.94,33.9568968013096,79.3502856065917,37.8655793625413
"2015-05-21T04:45:00.000Z",16.35,7.02,204.5,7.9,33.9530695487253,79.6043380816281,37.8815691290907
"2015-05-21T05:00:00.000Z",16.31,7.01,203.7,7.87,34.2548031386045,80.341459011494,38.2386739153608
"2015-05-21T05:15:00.000Z",16.27,7.01,202.8,7.84,34.4607527869041,80.5883012377435,38.4891802579682
"2015-05-21T05:30:00.000Z",16.24,7,202.1,7.81,34.5947841911741,81.3163889039225,38.6544078456455
"2015-05-21T05:45:00.000Z",16.21,6.99,201.5,7.79,34.6619414122051,81.700026364816,38.7450165227588
"2015-05-21T06:00:00.000Z",16.19,6.99,201,7.78,34.8290286494107,81.943351703204,38.9422236435348
"2015-05-21T06:15:00.000Z",16.16,6.99,200.6,7.77,34.8102572673123,82.0981654069874,38.9368937213517
"2015-05-21T06:30:00.000Z",16.14,6.99,200.2,7.77,34.9295426332787,83.3874842604937,39.0808016202963
"2015-05-21T06:45:00.000Z",16.12,6.99,200,7.78,35.096383853981,82.3505015674031,39.2780087410724
"2015-05-21T07:00:00.000Z",16.11,6.99,199.7,7.8,35.2011973143189,83.602322744234,39.4005969512845
"2015-05-21T07:15:00.000Z",16.11,6.99,199.6,7.82,35.2869105731324,84.010011408807,39.496535550581
"2015-05-21T07:30:00.000Z",16.11,6.99,199.5,7.84,35.3583382888104,84.0283881198532,39.576484383328
"2015-05-21T07:45:00.000Z",16.1,7,199.4,7.86,35.4488176417159,84.3444315413549,39.6830828269907
"2015-05-21T08:00:00.000Z",16.14,7.01,199.5,7.91,35.3678089878478,83.5987472942012,39.5711544611449
"2015-05-21T08:15:00.000Z",16.17,7.01,199.5,7.98,35.4821208510383,84.0475457068672,39.6830828269907
"2015-05-21T08:30:00.000Z",16.15,7.01,199.6,8,35.4773700521022,83.6143999487566,39.6884127491739
"2015-05-21T08:45:00.000Z",16.11,7.01,199.8,7.98,35.5678595881324,83.6828179973145,39.811000959386
"2015-05-21T09:00:00.000Z",16.11,7.02,199.9,7.99,35.6297636083866,84.376417748967,39.8802899477668
"2015-05-21T09:15:00.000Z",16.13,7.02,200.1,8.05,35.6583786002178,84.559837485341,39.9016096364993
"2015-05-21T09:30:00.000Z",16.12,7.02,200.4,8.06,35.7297945871782,84.6116623967713,39.9868883914295
"2015-05-21T09:45:00.000Z",16.11,7.02,200.6,8.06,35.6821439332171,84.5888349720136,39.9389190917813
